"system","broodYr","spawn","rec","rps"
"Igushik",1963,92184,368205.122066703,3.99424110547061
"Igushik",1964,128532,583059.500180181,4.5362983551192
"Igushik",1965,180840,810919.527577424,4.48418230246308
"Igushik",1966,206360,301093.430575705,1.45906876611604
"Igushik",1967,281772,125744.849381645,0.446264530832179
"Igushik",1968,194508,158922.719262924,0.817049783365845
"Igushik",1969,512328,476722.22685709,0.930501996488753
"Igushik",1970,370920,287435.695091682,0.77492638599073
"Igushik",1971,210960,259415.093327239,1.22968853492245
"Igushik",1972,60018,232049.467502464,3.86633122567336
"Igushik",1973,59508,451999.766575413,7.59561347340547
"Igushik",1974,358752,1267129.88809994,3.5320496836253
"Igushik",1975,241086,2810903.3498592,11.6593387830865
"Igushik",1976,186120,1354666.65250916,7.27845826622156
"Igushik",1977,95970,830426.157793119,8.65297653217797
"Igushik",1978,536154,562274.921633802,1.04871906510779
"Igushik",1979,859560,896475.79562251,1.04294731679291
"Igushik",1980,1987530,443803.166703739,0.223293820321574
"Igushik",1981,591144,838645.24558437,1.41868181963171
"Igushik",1982,423768,346608.038627578,0.817919329981448
"Igushik",1983,180438,391104.402289343,2.16752791700941
"Igushik",1984,184872,522953.388363787,2.8287322491442
"Igushik",1985,212454,1138950.75445401,5.36092873965192
"Igushik",1986,307728,1700596.58768832,5.52629785943536
"Igushik",1987,169236,445514.670168539,2.63250531901332
"Igushik",1988,170454,614897.817730306,3.6074120744031
"Igushik",1989,461610,991783.682547156,2.14853162311725
"Igushik",1990,365802,1229497.5528373,3.3611012319159
"Igushik",1991,756126,983938.792614967,1.30128945786148
"Igushik",1992,304920,139561.23869275,0.457697883683425
"Igushik",1993,405564,358174.418815424,0.883151410912764
"Igushik",1994,445920,659952.734045033,1.47998011761086
"Igushik",1995,473382,1278256.1538545,2.70026353738523
"Igushik",1996,400746,886426.23681278,2.21194032332894
"Igushik",1997,127704,99344.9429939688,0.77793133334875
"Igushik",1998,215904,536354.078528615,2.48422483385493
"Igushik",1999,445536,362488.206246825,0.813600261812344
"Igushik",2000,413316,767785.196188205,1.85762272979562
"Igushik",2001,409596,490103.450737403,1.19655331286781
"Igushik",2002,123156,495200.712113415,4.02092234331592
"Igushik",2003,194088,2087758.66921549,10.756763268288
"Igushik",2004,109650,1835270.97893206,16.737537427561
"Igushik",2005,365712,1579838.18055274,4.31989702430531
"Igushik",2006,305268,1005262.0027794,3.29304742973191
"Igushik",2007,415452,608854.701002182,1.46552357673614
"Igushik",2008,1054704,663699.945405408,0.629276029488281
"Igushik",2009,514188,941767.14386566,1.83156188760854
"Igushik",2010,518040,1714393.34055361,3.30938410268243
"Igushik",2011,421380,1985117.38538024,4.71099099477964
"Igushik",2012,193326,686078.818258711,3.54881815306121
"Wood",1963,721404,1632835.6902013,2.26341369080474
"Wood",1964,1076112,1286902.77710073,1.19588182001569
"Wood",1965,675156,2021718.74284877,2.99444682836081
"Wood",1966,1208682,2290779.78677707,1.89527087089663
"Wood",1967,515772,1054263.50231463,2.04404950698104
"Wood",1968,649344,1154367.15414343,1.77774362147556
"Wood",1969,604338,989847.971165265,1.63790456857796
"Wood",1970,1161964,2648101.6347012,2.2789876749204
"Wood",1971,851202,1425140.3788766,1.67426812774946
"Wood",1972,430602,1338679.25329861,3.10885516857472
"Wood",1973,330474,1460260.48499533,4.41868493435285
"Wood",1974,1708836,5893430.30998299,3.44879807657551
"Wood",1975,1270116,6290687.41151378,4.95284478859709
"Wood",1976,817008,6590536.14741133,8.06667272219039
"Wood",1977,561828,3824312.59826252,6.80690994087606
"Wood",1978,2267238,3117206.8107266,1.37489174525418
"Wood",1979,1706352,4154668.58018577,2.43482504206973
"Wood",1980,2969040,1471792.11761562,0.495713132061415
"Wood",1981,1233318,2231913.48074671,1.80968207773397
"Wood",1982,976470,2085370.56802225,2.13562174774673
"Wood",1983,1360968,3326753.3865653,2.44440235667943
"Wood",1984,1002792,2218822.19159381,2.2126444881828
"Wood",1985,939000,3304166.65396049,3.51881432796645
"Wood",1986,818652,4176304.8377082,5.10144095135442
"Wood",1987,1337172,2897914.16179317,2.16719626330283
"Wood",1988,866778,3978870.05699389,4.59041422024312
"Wood",1989,1186410,5106290.77222029,4.30398493962483
"Wood",1990,1069440,3555677.99017163,3.32480362635737
"Wood",1991,1159920,6110265.16020268,5.26783326453779
"Wood",1992,1286250,4539122.83785081,3.52895847451958
"Wood",1993,1176126,3267338.95541326,2.77805180347451
"Wood",1994,1471890,5887327.87008044,3.99984229125848
"Wood",1995,1482162,7844735.66396403,5.29276534141614
"Wood",1996,1649598,7529945.0305222,4.56471517940868
"Wood",1997,1512396,1237316.76078156,0.81811692227536
"Wood",1998,1755768,6866961.49929181,3.91108705665658
"Wood",1999,1512426,5621078.3180675,3.71659725372845
"Wood",2000,1300026,7238890.1115679,5.56826564358551
"Wood",2001,1458732,8311690.33283843,5.69788716010784
"Wood",2002,1283682,8408969.63703634,6.55066413413629
"Wood",2003,1459782,8339222.19054084,5.71264900549592
"Wood",2004,1543392,8064891.87526049,5.22543325043831
"Wood",2005,1496550,6718863.98256377,4.48956866296734
"Wood",2006,4008102,8034958.26381681,2.00467908846053
"Wood",2007,1528086,2825544.06280098,1.84907398065356
"Wood",2008,1724676,3220111.18150154,1.86708180638076
"Wood",2009,1319232,3719583.69677288,2.81950687731414
"Wood",2010,1804344,7124704.8242942,3.94863996238755
"Wood",2011,1098006,5649705.35531768,5.14542302621086
"Wood",2012,764211,4655418.44655568,6.09179722165171
"Nushagak",1963,234820.8018,214840.580156722,0.914912897451497
"Nushagak",1964,134852.6266,93342.3462088272,0.692180408808049
"Nushagak",1965,255793.5021,779753.691718512,3.0483717737821
"Nushagak",1966,233577.6147,701565.678678565,3.0035655581963
"Nushagak",1967,74002.81765,227033.084647458,3.0678978430419
"Nushagak",1968,142360.4153,344179.471621545,2.41766273929622
"Nushagak",1969,95805.0467,493692.39056527,5.15309378337028
"Nushagak",1970,452891.7581,988763.627680121,2.18322283414528
"Nushagak",1971,312699.1781,1010998.91204097,3.23313581501533
"Nushagak",1972,39850.56376,1147979.90927231,28.8071184183495
"Nushagak",1973,210600.7728,1380189.1844859,6.55358081613791
"Nushagak",1974,204190.1742,383622.793221916,1.87875246556265
"Nushagak",1975,832092.6013,5995148.83355701,7.20490582921977
"Nushagak",1976,520302.5868,4351923.97327764,8.36421744516615
"Nushagak",1977,611588.3606,3236088.56608596,5.2912854046326
"Nushagak",1978,734040.0845,1513724.71081875,2.0621826284185
"Nushagak",1979,551271.6622,1846152.62336911,3.34889810225603
"Nushagak",1980,3669136.414,1210265.69876664,0.329850286881878
"Nushagak",1981,1118872.875,1976756.70465016,1.76673932206119
"Nushagak",1982,664579.7666,1335148.49953981,2.00901165915786
"Nushagak",1983,446845.0461,1548737.91695801,3.46593954766909
"Nushagak",1984,655739.2017,761247.350911451,1.16089956027933
"Nushagak",1985,551319.2218,1416869.92612331,2.56996286379673
"Nushagak",1986,1095241.259,2092573.596844,1.91060515630557
"Nushagak",1987,429181.6128,1905456.27363564,4.43974349507744
"Nushagak",1988,534459.8784,2557338.62371741,4.78490290304533
"Nushagak",1989,567863.3443,1398722.07011078,2.46313146314273
"Nushagak",1990,752513.138,1189247.18707263,1.58036734113821
"Nushagak",1991,544748.2476,1491481.64646501,2.73792830548062
"Nushagak",1992,768816.1441,1212574.09799274,1.57719645626357
"Nushagak",1993,790926.9579,1074278.18641409,1.35825208090823
"Nushagak",1994,563334.117,425915.19395213,0.75606142269585
"Nushagak",1995,311136.3458,1198477.04716394,3.85193521535515
"Nushagak",1996,557057.3491,2335512.43443613,4.19258885680166
"Nushagak",1997,412591.0367,544301.881868421,1.31922856643197
"Nushagak",1998,507532.2674,2665495.87487433,5.25187470055687
"Nushagak",1999,344972.2727,1753715.65849672,5.08364235992327
"Nushagak",2000,446286.4967,3938655.10098789,8.82539608550046
"Nushagak",2001,897112.175,2662843.38806658,2.9682390477719
"Nushagak",2002,349155.3099,2083211.47194987,5.96643216609398
"Nushagak",2003,642092.8998,2196682.61265352,3.42112895709911
"Nushagak",2004,543872.2652,1836096.02366159,3.37596921399623
"Nushagak",2005,1106703,1418239.1375346,1.28149931601758
"Nushagak",2006,548410,1237548.68667633,2.25661218190101
"Nushagak",2007,518041,911789.401926808,1.76007188992147
"Nushagak",2008,492546,2169246.07319908,4.40414920271219
"Nushagak",2009,484149,1284510.50464561,2.65313055411787
"Nushagak",2010,468696,2452551.45334246,5.2327125756193
"Nushagak",2011,428191,2428928.10734437,5.67253423669431
"Nushagak",2012,432438,5114328.84489558,11.8267331846313
"Kvichak",1963,338760,1388215.8615307,4.09793323158196
"Kvichak",1964,957120,5763514.8080947,6.02172643774522
"Kvichak",1965,24325926,45820688.6640769,1.88361539306158
"Kvichak",1966,3755185,6522061.73832304,1.73681502730839
"Kvichak",1967,3216208,1784047.97041946,0.554705407865244
"Kvichak",1968,2557440,635324.088074931,0.248421893798068
"Kvichak",1969,8394204,5513626.38010613,0.656837310614102
"Kvichak",1970,13935306,15363871.7609629,1.1025141292888
"Kvichak",1971,2387392,2036285.1271136,0.852932877011233
"Kvichak",1972,1009962,3248671.17710916,3.21662713756474
"Kvichak",1973,226554,2203241.2006251,9.72501567231255
"Kvichak",1974,4433844,25784407.2986557,5.81536186177404
"Kvichak",1975,13140450,37439011.0672555,2.8491422338851
"Kvichak",1976,1965282,10716322.9886967,5.45281694367357
"Kvichak",1977,1341144,3089502.38449202,2.30363211146008
"Kvichak",1978,4149288,5055228.08373439,1.21833627449683
"Kvichak",1979,11218434,43049769.8480922,3.83741347928705
"Kvichak",1980,22505268,12597312.7292474,0.559749509725787
"Kvichak",1981,1754358,2048788.63260511,1.1678281357654
"Kvichak",1982,1134840,1509245.58098918,1.32991926702371
"Kvichak",1983,3569982,13775450.62316,3.85868909791703
"Kvichak",1984,10490670,23287184.5352621,2.21979954905284
"Kvichak",1985,7211046,18314832.7805685,2.53983025216709
"Kvichak",1986,1179322,4114460.4282415,3.48883547346823
"Kvichak",1987,6065880,11648130.4746772,1.92027050892486
"Kvichak",1988,4065216,9205714.46945707,2.264508077666
"Kvichak",1989,8317500,24800932.6626244,2.98177729637805
"Kvichak",1990,6970020,26298686.4105977,3.77311491367281
"Kvichak",1991,4222788,4637249.70429568,1.09814883065304
"Kvichak",1992,4725864,1875602.78395769,0.39688039773419
"Kvichak",1993,4025166,3130469.75931631,0.777724386849217
"Kvichak",1994,8355936,7303050.48547676,0.873995502775124
"Kvichak",1995,10038720,10636781.6749224,1.05957549119035
"Kvichak",1996,1450578,2260607.40178616,1.55841836963345
"Kvichak",1997,1503732,816242.330702687,0.542811039934435
"Kvichak",1998,2296074,1254498.87625973,0.546366918600938
"Kvichak",1999,6196914,7378782.21426184,1.19071883428782
"Kvichak",2000,1827780,4261658.27556938,2.33160351659903
"Kvichak",2001,1095348,4421264.70312135,4.03640185869819
"Kvichak",2002,703884,3881251.19812518,5.51404947139753
"Kvichak",2003,1686804,4966280.6655257,2.94419545218395
"Kvichak",2004,5500134,10918273.7566274,1.98509231895577
"Kvichak",2005,2320332,9582839.30930799,4.12994317593689
"Kvichak",2006,3068226,8319190.60950864,2.71140085818601
"Kvichak",2007,2810208,12795125.6650907,4.55308847782466
"Kvichak",2008,2757912,6577117.74254688,2.38481784137669
"Kvichak",2009,2266140,12889440.0986455,5.68783927676381
"Kvichak",2010,4207410,25775459.8267486,6.12620586697008
"Kvichak",2011,2264352,8130648.4917615,3.59071756147521
"Kvichak",2012,4164444,11800941.7078689,2.83373763889463
"Alagnak",1963,203304,414873.328244359,2.04065502028666
"Alagnak",1964,248700,381899.903027084,1.5355846523003
"Alagnak",1965,175020,259728.90811455,1.48399558973003
"Alagnak",1966,174336,565583.866239861,3.24421729441917
"Alagnak",1967,202626,389348.767825824,1.92151435563957
"Alagnak",1968,193872,249192.085927954,1.2853433498801
"Alagnak",1969,182490,180184.624183425,0.98736711153173
"Alagnak",1970,177060,145641.754553923,0.822555938969407
"Alagnak",1971,187302,324752.485120437,1.73384419344394
"Alagnak",1972,151188,124167.556613979,0.821279179656974
"Alagnak",1973,35280,512939.728662265,14.5391079552796
"Alagnak",1974,214848,2290908.61717425,10.6629273587571
"Alagnak",1975,100480,1022274.02510684,10.1739055046461
"Alagnak",1976,81822,344708.627336561,4.21290884281197
"Alagnak",1977,108910.5,1002659.12019333,9.20626679882404
"Alagnak",1978,584970,2175584.17054436,3.71913802510277
"Alagnak",1979,750210,2108487.73134386,2.81053002671767
"Alagnak",1980,759645,643094.996120484,0.846573065208727
"Alagnak",1981,209635.5,1182706.20453576,5.64172673299972
"Alagnak",1982,610215,773488.003197974,1.26756635480605
"Alagnak",1983,245361,456604.252884,1.86094877704281
"Alagnak",1984,549193.5,2467946.88667784,4.49376565213871
"Alagnak",1985,300976.5,1645392.70516788,5.46684776109724
"Alagnak",1986,586959,2032311.18598628,3.46244147544596
"Alagnak",1987,393235.5,770409.031561358,1.95915432752475
"Alagnak",1988,496306.5,1273820.86609054,2.56660121535894
"Alagnak",1989,501738,2741824.9795994,5.46465481904778
"Alagnak",1990,430338,1283664.68112388,2.98292198486743
"Alagnak",1991,707851.95,3434249.08820511,4.85164883448455
"Alagnak",1992,577939.65,186844.237391923,0.323293681947454
"Alagnak",1993,887336.25,1506976.6751689,1.69831523863575
"Alagnak",1994,618464.25,1563841.36878177,2.52858814196903
"Alagnak",1995,550068.15,3896348.93525366,7.08339309457138
"Alagnak",1996,782212.5,1421615.40831173,1.81742865054155
"Alagnak",1997,556193.25,1391084.72117408,2.50108163156256
"Alagnak",1998,643110,2777779.54966248,4.31929148926697
"Alagnak",1999,1182180,3726492.91154353,3.15222124510948
"Alagnak",2000,1150815,9751286.32738867,8.47337437154423
"Alagnak",2001,680850,1677183.27867637,2.46336678956653
"Alagnak",2002,766962,3727475.26978412,4.86005208834873
"Alagnak",2003,3676146,6700355.65925991,1.82265765811801
"Alagnak",2004,5396592,2514212.28256702,0.465888894800092
"Alagnak",2005,4218990,2840332.21581486,0.673225633579331
"Alagnak",2006,1773966,2439864.35818364,1.37537267240953
"Alagnak",2007,2466414,2209010.43789314,0.895636514345582
"Alagnak",2008,2180502,1924161.66449931,0.882439761348215
"Alagnak",2009,970818,1404670.73454462,1.44689399510992
"Alagnak",2010,1187730,6498955.48244721,5.47174482622078
"Alagnak",2011,883794,6168138.37647742,6.97915846506926
"Alagnak",2012,861747,2828307.29611104,3.28206224809722
"Naknek",1963,905358,1706836.10379262,1.8852609727783
"Naknek",1964,1349604,2223530.8192499,1.6475431454337
"Naknek",1965,717798,2654768.45017911,3.69848961710552
"Naknek",1966,1016445,4205622.40347585,4.13757990198767
"Naknek",1967,755640,1552168.44889933,2.05411101701779
"Naknek",1968,1023222,638312.094571834,0.623825616114424
"Naknek",1969,1331202,2143778.10749327,1.61040781751625
"Naknek",1970,732502,2535305.63511074,3.46115865227773
"Naknek",1971,935754,4350422.01048727,4.6491086444592
"Naknek",1972,586518,1715207.23222013,2.92438975823441
"Naknek",1973,356676,2742668.66089076,7.68952399626205
"Naknek",1974,1241058,2642513.16531485,2.12924227982484
"Naknek",1975,2026686,5195705.44293231,2.5636459929818
"Naknek",1976,1320750,8991731.92787495,6.80804991699788
"Naknek",1977,1085856,3721058.76815912,3.42684367739288
"Naknek",1978,813378,2788295.36890807,3.42804374953351
"Naknek",1979,925362,3965088.09070341,4.28490481638906
"Naknek",1980,2644698,4930475.71866146,1.86428685568691
"Naknek",1981,1796220,4703787.42824638,2.61871453844539
"Naknek",1982,1155552,1849206.09920063,1.60027943286034
"Naknek",1983,888294,1482525.74373844,1.66895841212306
"Naknek",1984,1242474,4489759.98160534,3.6135645346344
"Naknek",1985,1849938,7264391.05279658,3.92682946822898
"Naknek",1986,1977645,12744733.8536441,6.4443991988674
"Naknek",1987,1061806,5533715.96445295,5.21160735996307
"Naknek",1988,1037862,3025870.94413888,2.915484856502
"Naknek",1989,1161984,3133263.11588495,2.69647698753593
"Naknek",1990,2092578,3997626.35138842,1.9103834367887
"Naknek",1991,3578508,4629239.36047407,1.29362275017244
"Naknek",1992,1606650,1481552.80615767,0.922137868333286
"Naknek",1993,1535658,2704804.13905555,1.76133236635732
"Naknek",1994,990810,2396222.18897042,2.41844772354984
"Naknek",1995,1111140,5927765.90929563,5.33485061225015
"Naknek",1996,1078098,6473143.8491132,6.00422582094874
"Naknek",1997,1025664,3457635.51741984,3.37111911641614
"Naknek",1998,1202172,3869571.55349641,3.21881690265321
"Naknek",1999,1625364,3762439.42980361,2.31482881976198
"Naknek",2000,1375488,9024550.06322389,6.56098058523512
"Naknek",2001,1830360,4633412.799596,2.53142157804804
"Naknek",2002,1263918,5780189.95974068,4.57323177590689
"Naknek",2003,1831170,12396540.9663186,6.76973790872427
"Naknek",2004,1939674,4303688.06444386,2.21876875415346
"Naknek",2005,2744622,5386596.0258008,1.96260032376072
"Naknek",2006,1953228,4907170.51430105,2.51233881262252
"Naknek",2007,2945304,4634051.7476893,1.57336959026617
"Naknek",2008,2472690,3266706.27154968,1.32111436190937
"Naknek",2009,1169466,1914503.47133162,1.63707493106394
"Naknek",2010,1463928,7419738.39820534,5.06837658560076
"Naknek",2011,1177074,5088655.06095873,4.32313946358405
"Naknek",2012,900312,5422205.1303881,6.02258453779146
"Egegik",1963,997602,993872.335021644,0.996261369786392
"Egegik",1964,849576,1937882.20732286,2.28099923646955
"Egegik",1965,1444608,2388485.24706232,1.65337949607251
"Egegik",1966,804246,2058270.99700996,2.55925549770836
"Egegik",1967,636864,1631431.11167461,2.56166326197526
"Egegik",1968,338654,377056.07874012,1.1133962059805
"Egegik",1969,1015554,2755727.70787984,2.71352159302198
"Egegik",1970,919734,1202584.35791506,1.30753495892841
"Egegik",1971,634014,2700676.42781917,4.25964793808838
"Egegik",1972,546402,2909902.03991984,5.32556989161797
"Egegik",1973,328842,1451686.21168528,4.41454014902378
"Egegik",1974,1275630,2441308.44951373,1.91380607975176
"Egegik",1975,1173840,3040168.76745736,2.58993454598357
"Egegik",1976,509160,4480474.69025333,8.79973817710215
"Egegik",1977,692514,4167610.04010687,6.01808777888515
"Egegik",1978,895698,9914902.39786974,11.0694702878311
"Egegik",1979,1032042,4039741.27916331,3.91431868001817
"Egegik",1980,1060860,8222418.16084804,7.75070995310224
"Egegik",1981,694680,5441585.87477155,7.83322662919841
"Egegik",1982,1034628,6435075.20973767,6.21969945694266
"Egegik",1983,792282,10811632.5729272,13.6461923569224
"Egegik",1984,1165345,11766356.1514142,10.0968864597302
"Egegik",1985,1095192,6382682.84835985,5.82791222759101
"Egegik",1986,1152180,14207133.5325755,12.330654526702
"Egegik",1987,1273553,25731443.1009924,20.204454075325
"Egegik",1988,1612745,19465141.8372025,12.0695719640753
"Egegik",1989,1611566,10134483.3071884,6.28859339747077
"Egegik",1990,2191582,16060318.3594773,7.32818500949421
"Egegik",1991,2786925,9948962.32351489,3.56987085175055
"Egegik",1992,1945632,8668646.67381006,4.45544001836424
"Egegik",1993,1517000,1936033.99378275,1.27622544085876
"Egegik",1994,1897977,7979478.91419966,4.20420211319719
"Egegik",1995,1266692,7522880.95602616,5.93899776427589
"Egegik",1996,1076460,4161327.82841048,3.86575239991312
"Egegik",1997,1104004,6063052.67448219,5.4918756403801
"Egegik",1998,1110938,1270507.81976254,1.14363521615296
"Egegik",1999,1728397,13004487.7709706,7.52401662984294
"Egegik",2000,1032138,12037957.6155818,11.6631280076713
"Egegik",2001,968872,4786179.77945358,4.93995056050085
"Egegik",2002,1036092,5292059.01252126,5.10771148944424
"Egegik",2003,1152120,8800152.10983039,7.63822528020553
"Egegik",2004,1290144,14138819.6733463,10.9591019865583
"Egegik",2005,1621734,6185017.57651481,3.81382987377388
"Egegik",2006,1465158,3573363.24369149,2.43889276357328
"Egegik",2007,1432500,6440135.52264831,4.49573160394297
"Egegik",2008,1259568,3830060.47891296,3.04077308959338
"Egegik",2009,1146276,4505949.99776711,3.9309468206323
"Egegik",2010,927054,9911273.48397915,10.6911501206825
"Egegik",2011,961200,9363534.37612508,9.74150476084591
"Egegik",2012,1233900,9571850.6706486,7.75739579435011
"Ugashik",1963,388254,132741.121594047,0.341892476559281
"Ugashik",1964,472770,274732.514051801,0.581112409949448
"Ugashik",1965,996612,392954.453974477,0.394290309543209
"Ugashik",1966,704436,2388187.34896018,3.39021195532339
"Ugashik",1967,238830,230350.875927913,0.964497240413318
"Ugashik",1968,70896,45087.7900879899,0.635970859963748
"Ugashik",1969,160380,89242.7894271623,0.556445874966719
"Ugashik",1970,735024,355709.058650318,0.483942100734558
"Ugashik",1971,529752,935802.305221529,1.76649131144673
"Ugashik",1972,79428,276169.906112308,3.47698426389067
"Ugashik",1973,38988,102308.230749062,2.62409538188832
"Ugashik",1974,61854,757906.58046989,12.2531538860848
"Ugashik",1975,429336,4125833.63273711,9.60980125760967
"Ugashik",1976,356308,5801028.78390357,16.2809389177441
"Ugashik",1977,201520,2853150.98810227,14.1581529778795
"Ugashik",1978,82435,1194447.86934343,14.4895720184804
"Ugashik",1979,1706904,6480880.11029085,3.79686268840594
"Ugashik",1980,3335284,8062936.54188374,2.417466261309
"Ugashik",1981,1327699,7976426.00248363,6.00770656789199
"Ugashik",1982,1185551,2359984.76482498,1.99062272717494
"Ugashik",1983,1001364,1789219.78633632,1.78678261484967
"Ugashik",1984,1270318,5529833.79309639,4.35310984579955
"Ugashik",1985,1006407,2823866.10556412,2.80588877617516
"Ugashik",1986,1015582,7142617.05482445,7.03302840619905
"Ugashik",1987,686894,7164346.88049255,10.4300618152037
"Ugashik",1988,654412,5544645.82378031,8.4727141674974
"Ugashik",1989,1713287,4913113.70601025,2.86765364239048
"Ugashik",1990,749478,3858558.50626774,5.14832791124988
"Ugashik",1991,2482016,6680927.45220865,2.69173424031459
"Ugashik",1992,2194927,3149040.84059656,1.43469046605949
"Ugashik",1993,1413454,1357579.56061087,0.960469573548818
"Ugashik",1994,1095068,1586318.3046561,1.44860255678744
"Ugashik",1995,1321108,5773749.78979739,4.37038439688306
"Ugashik",1996,692167,1353867.00883895,1.95598317868224
"Ugashik",1997,656641,3025122.87740065,4.60696617695309
"Ugashik",1998,924853,1247104.43747337,1.34843530536568
"Ugashik",1999,1662042,3674140.36215159,2.21061824078549
"Ugashik",2000,638420,4355261.16176942,6.82193722278347
"Ugashik",2001,866368,2184179.77964358,2.52107623970828
"Ugashik",2002,905584,4599316.46000838,5.07884024011951
"Ugashik",2003,790202,6372603.18354249,8.06452424005823
"Ugashik",2004,815104,4531213.11856022,5.55906132046981
"Ugashik",2005,799612,5265096.24132754,6.58456381510976
"Ugashik",2006,1003158,3402149.21154045,3.39143904702993
"Ugashik",2007,2599186,3139803.80977331,1.20799504528468
"Ugashik",2008,596332,3162448.10993027,5.30316687672348
"Ugashik",2009,1364338,982543.751618179,0.720161537403619
"Ugashik",2010,830886,2113012.1414984,2.54308309623511
"Ugashik",2011,1029853,6746033.84145973,6.55048229355037
"Ugashik",2012,695018,5917719.75372741,8.51448416260789
