Country,Year,Sex,CauseDeath
Canada,2017,M,undetermined
Canada,2017,M,vessel_strike
Canada,2017,M,undetermined
Canada,2017,F,entanglement
Canada,2017,F,undetermined
Canada,2017,M,vessel_strike
Canada,2017,M,vessel_strike
Canada,2017,M,vessel_strike
Canada,2017,M,undetermined
Canada,2017,F,undetermined
Canada,2017,F,undetermined
Canada,2017,F,entanglement
Canada,2019,M,vessel_strike
Canada,2019,F,vessel_strike
Canada,2019,M,vessel_strike
Canada,2019,F,undetermined
Canada,2019,F,undetermined
Canada,2019,F,vessel_strike
Canada,2019,M,undetermined
Canada,2019,M,undetermined
USA,2017,F,vessel_strike
USA,2017,M,entanglement
USA,2017,F,undetermined
USA,2017,M,entanglement
USA,2017,F,undetermined
USA,2019,F,entanglement
USA,2019,M,entanglement
USA,2019,F,entanglement
USA,2019,M,entanglement
USA,2019,M,vessel_strike
USA,2019,M,undetermined
USA,2019,M,entanglement