year,spawn,sst,rec
1960,694.5250866,11.625,2189.100077
1961,2545.288529,11.46,16987.31358
1962,1701.821077,12.331667,9425.686222
1963,4359.162581,11.6183335,6641.640944
1964,2214.001222,11.045,6780.585951
1965,2084.959944,11.108333,3735.638962
1966,2019.530951,11.6933335,13399.81424
1967,1413.385962,11.4983335,5890.33904
1968,3558.961239,11.08,8384.076119
1969,2405.07404,10.388333,6401.349087
1970,3207.150119,10.8133335,7202.315542
1971,3472.896087,10.59,4634.885184
1972,4007.146542,10.3483335,3182.765267
1973,3010.207184,11.065,1535.324908
1974,2581.259267,10.26,1611.93442
1975,1484.115908,11.195,5609.424882
1976,1573.08642,11.805,8365.224824
1977,5279.085882,11.3166665,9712.726949
1978,5726.880824,11.86,5709.921007
1979,7616.659949,11.3633335,7647.44345
1980,4355.537007,12.378333,18282.89726
1981,4997.16345,11.223333,10346.47028
1982,7462.641258,12.221667,10390.94739
1983,6837.800282,11.741667,30811.80489
1984,6631.589387,10.4066665,6632.474284
1985,15195.08689,11.51,13221.41821
1986,5742.029284,11.7783335,6486.479662
1987,8035.182213,11.805,21244.91807
1988,4517.429662,12.2583335,12596.14022
1989,8513.777066,12.2966665,28357.7304
1990,7160.941215,11.45563633,24849.7992
1991,10326.1484,11.27903177,25938.924
1992,9444.887198,12.22627441,51036.67428
1993,8883.452996,11.42887806,12030.01572
1994,15425.73728,11.69110908,20501.03672
1995,7175.547718,11.20946028,23688.47942
1996,11414.57272,11.94008735,23492.62612